name;link;level
Aliments, boissons & tabac;food_beverages_tobacco;0
Animaux;animals_pets;0
Argent & assurance;money_insurance;0
Beauté & bien-être;beauty_wellbeing;0
Construction & fabrication;construction_manufactoring;0
Éducation & formation;education_training;0
Électronique & technologie;electronics_technology;0
Événements & divertissement;events_entertainment;0
Loisirs & artisanat;hobbies_crafts;0
Maison & jardin;home_garden;0
Médias & édition;media_publishing;0
Restaurants & bars;restaurants_bars;0
Santé & médecine;health_medical;0
Services;utilities;0
Services à domicile;home_services;0
Services aux entreprises;business_services;0
Services juridiques & administration;legal_services_government;0
Services publics & locaux;public_local_services;0
Shopping & mode;shopping_fashion;0
Sport;sports;0
Vacances & voyages;travel_vacation;0
Véhicules & transport;vehicles_transportation;0
Agriculture & production;food_beverages_tobacco/agriculture_produce;1
Bière & vin;food_beverages_tobacco/beer_wine;1
Boissons & alcool;food_beverages_tobacco/beverages_liquor;1
Bonbons & chocolat;food_beverages_tobacco/candy_chocolate;1
Boulangerie & pâtisserie;food_beverages_tobacco/bakery_pastry;1
Café & thé;food_beverages_tobacco/coffee_tea;1
Déjeuner & traiteur;food_beverages_tobacco/lunch_catering;1
Épiceries & marchés;food_beverages_tobacco/grocery_stores_markets;1
Épiceries asiatiques;food_beverages_tobacco/asian_grocery_stores;1
Fruits & légumes;food_beverages_tobacco/fruits_vegetables;1
Production alimentaire;food_beverages_tobacco/food_production;1
Tabac & cigarettes;food_beverages_tobacco/smoking_tobacco;1
Viande, fruits de mer & oeufs;food_beverages_tobacco/meat_seafood_eggs;1
Animalerie;animals_pets/pet_stores;1
Chats & chiens;animals_pets/cats_dogs;1
Chevaux & équitation;animals_pets/horses_riding;1
Parcs animaliers & zoos;animals_pets/animal_parks_zoo;1
Santé animale;animals_pets/animal_health;1
Services animaliers;animals_pets/pet_services;1
Assurance;money_insurance/insurance;1
Banque & argent;money_insurance/banking_money;1
Comptabilité & taxes;money_insurance/accounting_tax;1
Immobilier;money_insurance/real_estate;1
Placements et patrimoine;money_insurance/investments_wealth;1
Services d'endettement et de crédit;money_insurance/credit_debt_services;1
Bien-être & spa;beauty_wellbeing/wellness_spa;1
Hygiène personnelle;beauty_wellbeing/personal_care;1
Produits de beauté & maquillage;beauty_wellbeing/cosmetics_makeup;1
Salons & cliniques esthétiques;beauty_wellbeing/salons_clinics;1
Soins capillaires & coiffure;beauty_wellbeing/hair_care_styling;1
Tatouages & piercings;beauty_wellbeing/tattoos_piercings;1
Yoga & méditation;beauty_wellbeing/yoga_meditation;1
Architectes & ingénieurs;construction_manufactoring/architects_engineers;1
Entrepreneurs & consultants;construction_manufactoring/contractors_consultants;1
Équipement d'usine;construction_manufactoring/factory_equipment;1
Fabrication industrielle;construction_manufactoring/manufacturing;1
Fournitures industrielles;construction_manufactoring/industrial_supplies;1
Jardin & paysagisme;construction_manufactoring/garden_landscaping;1
Matériaux de construction;construction_manufactoring/building_materials;1
Outils & équipement;construction_manufactoring/tools_equipment;1
Produits chimiques & plastique;construction_manufactoring/chemicals_plastic;1
Services de construction;construction_manufactoring/construction_services;1
Services de production;construction_manufactoring/production_services;1
Apprentissage des langues étrangères;education_training/language_learning;1
Collèges & universités;education_training/colleges_universities;1
Cours de musique et de théâtre;education_training/music_theater_classes;1
École & lycée;education_training/school_high_school;1
Établissements spécialisés;education_training/specials_schools;1
Formation professionnelle;education_training/vocational_training;1
Formations & cours;education_training/courses_classes;1
