;name;link;level;name_clean
0;Aliments, boissons & tabac;food_beverages_tobacco;0;aliments boissons  tabac
1;Animaux;animals_pets;0;animaux
2;Argent & assurance;money_insurance;0;argent  assurance
3;Beauté & bien-être;beauty_wellbeing;0;beaute  bienetre
4;Construction & fabrication;construction_manufactoring;0;construction  fabrication
5;Éducation & formation;education_training;0;education  formation
6;Électronique & technologie;electronics_technology;0;electronique  technologie
7;Événements & divertissement;events_entertainment;0;evenements  divertissement
8;Loisirs & artisanat;hobbies_crafts;0;loisirs  artisanat
9;Maison & jardin;home_garden;0;maison  jardin
10;Médias & édition;media_publishing;0;medias  edition
11;Restaurants & bars;restaurants_bars;0;restaurants  bars
12;Santé & médecine;health_medical;0;sante  medecine
13;Services;utilities;0;services
14;Services à domicile;home_services;0;services a domicile
15;Services aux entreprises;business_services;0;services aux entreprises
16;Services juridiques & administration;legal_services_government;0;services juridiques  administration
17;Services publics & locaux;public_local_services;0;services publics  locaux
18;Shopping & mode;shopping_fashion;0;shopping  mode
19;Sport;sports;0;sport
20;Vacances & voyages;travel_vacation;0;vacances  voyages
21;Véhicules & transport;vehicles_transportation;0;vehicules  transport
22;Agriculture & production;food_beverages_tobacco/agriculture_produce;1;agriculture  production
23;Bière & vin;food_beverages_tobacco/beer_wine;1;biere  vin
24;Boissons & alcool;food_beverages_tobacco/beverages_liquor;1;boissons  alcool
25;Bonbons & chocolat;food_beverages_tobacco/candy_chocolate;1;bonbons  chocolat
26;Boulangerie & pâtisserie;food_beverages_tobacco/bakery_pastry;1;boulangerie  patisserie
27;Café & thé;food_beverages_tobacco/coffee_tea;1;cafe  the
28;Déjeuner & traiteur;food_beverages_tobacco/lunch_catering;1;dejeuner  traiteur
29;Épiceries & marchés;food_beverages_tobacco/grocery_stores_markets;1;epiceries  marches
30;Épiceries asiatiques;food_beverages_tobacco/asian_grocery_stores;1;epiceries asiatiques
31;Fruits & légumes;food_beverages_tobacco/fruits_vegetables;1;fruits  legumes
32;Production alimentaire;food_beverages_tobacco/food_production;1;production alimentaire
33;Tabac & cigarettes;food_beverages_tobacco/smoking_tobacco;1;tabac  cigarettes
34;Viande, fruits de mer & oeufs;food_beverages_tobacco/meat_seafood_eggs;1;viande fruits de mer  oeufs
35;Animalerie;animals_pets/pet_stores;1;animalerie
36;Chats & chiens;animals_pets/cats_dogs;1;chats  chiens
37;Chevaux & équitation;animals_pets/horses_riding;1;chevaux  equitation
38;Parcs animaliers & zoos;animals_pets/animal_parks_zoo;1;parcs animaliers  zoos
39;Santé animale;animals_pets/animal_health;1;sante animale
40;Services animaliers;animals_pets/pet_services;1;services animaliers
41;Assurance;money_insurance/insurance;1;assurance
42;Banque & argent;money_insurance/banking_money;1;banque  argent
43;Comptabilité & taxes;money_insurance/accounting_tax;1;comptabilite  taxes
44;Immobilier;money_insurance/real_estate;1;immobilier
45;Placements et patrimoine;money_insurance/investments_wealth;1;placements et patrimoine
46;Services d'endettement et de crédit;money_insurance/credit_debt_services;1;services dendettement et de credit
47;Bien-être & spa;beauty_wellbeing/wellness_spa;1;bienetre  spa
48;Hygiène personnelle;beauty_wellbeing/personal_care;1;hygiene personnelle
49;Produits de beauté & maquillage;beauty_wellbeing/cosmetics_makeup;1;produits de beaute  maquillage
50;Salons & cliniques esthétiques;beauty_wellbeing/salons_clinics;1;salons  cliniques esthetiques
51;Soins capillaires & coiffure;beauty_wellbeing/hair_care_styling;1;soins capillaires  coiffure
52;Tatouages & piercings;beauty_wellbeing/tattoos_piercings;1;tatouages  piercings
53;Yoga & méditation;beauty_wellbeing/yoga_meditation;1;yoga  meditation
54;Architectes & ingénieurs;construction_manufactoring/architects_engineers;1;architectes  ingenieurs
55;Entrepreneurs & consultants;construction_manufactoring/contractors_consultants;1;entrepreneurs  consultants
56;Équipement d'usine;construction_manufactoring/factory_equipment;1;equipement dusine
57;Fabrication industrielle;construction_manufactoring/manufacturing;1;fabrication industrielle
58;Fournitures industrielles;construction_manufactoring/industrial_supplies;1;fournitures industrielles
59;Jardin & paysagisme;construction_manufactoring/garden_landscaping;1;jardin  paysagisme
60;Matériaux de construction;construction_manufactoring/building_materials;1;materiaux de construction
61;Outils & équipement;construction_manufactoring/tools_equipment;1;outils  equipement
62;Produits chimiques & plastique;construction_manufactoring/chemicals_plastic;1;produits chimiques  plastique
63;Services de construction;construction_manufactoring/construction_services;1;services de construction
64;Services de production;construction_manufactoring/production_services;1;services de production
65;Apprentissage des langues étrangères;education_training/language_learning;1;apprentissage des langues etrangeres
66;Collèges & universités;education_training/colleges_universities;1;colleges  universites
67;Cours de musique et de théâtre;education_training/music_theater_classes;1;cours de musique et de theatre
68;École & lycée;education_training/school_high_school;1;ecole  lycee
69;Établissements spécialisés;education_training/specials_schools;1;etablissements specialises
70;Formation professionnelle;education_training/vocational_training;1;formation professionnelle
71;Formations & cours;education_training/courses_classes;1;formations  cours
72;Services éducatifs;education_training/education_services;1;services educatifs
73;Appareils électroniques;electronics_technology/appliances_electronics;1;appareils electroniques
74;Audiovisuel;electronics_technology/audio_visual;1;audiovisuel
75;Internet & logiciels;electronics_technology/internet_software;1;internet  logiciels
76;Ordinateurs & téléphones;electronics_technology/computers_phones;1;ordinateurs  telephones
77;Services de réparation;electronics_technology/repair_services;1;services de reparation
78;Discothèques & vie nocturne;events_entertainment/clubbing_nightlife;1;discotheques  vie nocturne
79;Divertissement pour adultes;events_entertainment/adult_entertainment;1;divertissement pour adultes
80;Divertissement pour enfants;events_entertainment/childrens_entertainment;1;divertissement pour enfants
81;Jeux;events_entertainment/gaming;1;jeux
82;Jeux d'argent;events_entertainment/gambling;1;jeux dargent
83;Lieux d'événements;events_entertainment/events_venues;1;lieux devenements
84;Mariage & fêtes;events_entertainment/wedding_party;1;mariage  fetes
85;Musées & expositions;events_entertainment/museums_exibits;1;musees  expositions
86;Musique & films;events_entertainment/music_movies;1;musique  films
87;Théâtre & opéra;events_entertainment/theater_opera;1;theatre  opera
88;Activités extérieures;hobbies_crafts/outdoor_activities;1;activites exterieures
89;Art & artisanat;hobbies_crafts/art_handicraft;1;art  artisanat
90;Astrologie & numérologie;hobbies_crafts/astrology_numerology;1;astrologie  numerologie
91;Chasse & pêche;hobbies_crafts/fishing_hunting;1;chasse  peche
92;Couture & tricot;hobbies_crafts/needlework_knitting;1;couture  tricot
93;Loisirs;hobbies_crafts/hobbies;1;loisirs
94;Musique & instruments;hobbies_crafts/music_instruments;1;musique  instruments
95;Peinture & papier;hobbies_crafts/painting_paper;1;peinture  papier
96;Travail du métal, de la pierre & du verre;hobbies_crafts/metal_stone_glass_work;1;travail du metal de la pierre  du verre
97;Amélioration de l'habitat;home_garden/home_improvements;1;amelioration de lhabitat
98;Décoration & design intérieur;home_garden/decoration_interior;1;decoration  design interieur
99;Énergie & chauffage;home_garden/energy_heating;1;energie  chauffage
100;Jardin & paysagisme;home_garden/garden_pond;1;jardin  paysagisme
101;Magasin d'équipement pour la maison;home_garden/home_goods_stores;1;magasin dequipement pour la maison
102;Magasins de meubles;home_garden/furniture_stores;1;magasins de meubles
103;Produits culturels;home_garden/cultural_goods;1;produits culturels
104;Salle de bains & cuisine;home_garden/bathroom_kitchen;1;salle de bains  cuisine
105;Services ménagers & jardinage;home_garden/home_garden_services;1;services menagers  jardinage
106;Tissus & papeterie;home_garden/fabric_stationary;1;tissus  papeterie
107;Livres & magazines;media_publishing/books_magazines;1;livres  magazines
108;Médias & information;media_publishing/media_information;1;medias  information
109;Photographie;media_publishing/photography;1;photographie
110;Vidéo & son;media_publishing/video_sound;1;video  son
111;À emporter;restaurants_bars/takeaway;1;a emporter
112;Bars & cafés;restaurants_bars/bars_cafes;1;bars  cafes
113;Cuisine chinoise & coréene;restaurants_bars/chinese_korean_cuisine;1;cuisine chinoise  coreene
114;Cuisine d'Asie du Sud-Est;restaurants_bars/southeast_asian_cuisine;1;cuisine dasie du sudest
115;Cuisine européenne;restaurants_bars/european_cuisine;1;cuisine europeenne
116;Cuisine japonaise;restaurants_bars/japanese_cuisine;1;cuisine japonaise
117;Cuisine méditerranéenne;restaurants_bars/mediterranean_cuisine;1;cuisine mediterraneenne
118;Restaurants spécialisés;restaurants_bars/general_restaurants;1;restaurants specialises
119;Végétarien & régime;restaurants_bars/vegetarian_diet;1;vegetarien  regime
120;Aides physiques;health_medical/physical_aids;1;aides physiques
121;Cliniques;health_medical/clinics;1;cliniques
122;Diagnostic & tests;health_medical/diagnostics_testing;1;diagnostic  tests
123;Docteurs & chirurgiens;health_medical/doctors_surgeons;1;docteurs  chirurgiens
124;Équipement médical;health_medical/health_equipment;1;equipement medical
125;Hôpital & urgences;health_medical/hospital_emergency;1;hopital  urgences
126;Maternité & enfants;health_medical/pregnancy_children;1;maternite  enfants
127;Médecins spécialistes;health_medical/medical_specialists;1;medecins specialistes
128;Pharmacie & médicaments;health_medical/pharmacy_medicine;1;pharmacie  medicaments
129;Santé mentale;health_medical/mental_health;1;sante mentale
130;Services dentaires;health_medical/dental_services;1;services dentaires
131;Thérapie & santé pour personnes âgées;health_medical/therapy_senior_health;1;therapie  sante pour personnes agees
132;Vue & audition;health_medical/vision_hearing;1;vue  audition
133;Énergie & électricité;utilities/energy_power;1;energie  electricite
134;Pétrole & carburant;utilities/oil_fuel;1;petrole  carburant
135;Traitement des eaux;utilities/water_utilities;1;traitement des eaux
136;Artisan;home_services/craftsman;1;artisan
137;Déménagement & entreposage;home_services/moving_storage;1;demenagement  entreposage
138;Gardiennage de maison et sécurité;home_services/house_sitting_security;1;gardiennage de maison et securite
139;Plomberie & assainissement;home_services/plumbing_sanitation;1;plomberie  assainissement
