name;link;stars;review_count;category;type;location;logo;url;phone;stars_average;mail
Le Petit Vapoteur;www.lepetitvapoteur.com;4.9;3152.0;food_beverages_tobacco;LocalBusiness;Cherbourg en Cotentin FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/56ab50680000ff0005883bfe/198x149.png;https://www.lepetitvapoteur.com;02 33 54 14 15;4.9;
Comptoir des Vignes;www.comptoirdesvignes.fr;4.9;2210.0;food_beverages_tobacco;LocalBusiness;FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5b7ac13dd47ab90001990c5b/198x149.png;https://www.comptoirdesvignes.fr;;4.9;
MonWhisky.fr;monwhisky.fr;4.9;849.0;food_beverages_tobacco;LocalBusiness;4 rue Alfred Dreyfus PANAZOL 87350 ;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5624a4e80000ff0005848027/198x149.png;https://monwhisky.fr;587411696;4.9;contact@monwhisky.fr
Belleville Brulerie - Paris;cafesbelleville.com;4.9;820.0;food_beverages_tobacco;LocalBusiness;14 Bis Rue Lally-Tollendal Paris 75019 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5beb06e3efe08900010e4e93/198x149.png;http://cafesbelleville.com;01 42 85 79 37;4.9;info@cafesbelleville.com
Spiruline des îles d'or;spiruline-des-iles-dor.com;4.9;403.0;food_beverages_tobacco;LocalBusiness;1143 Chemin de la Garde Hyères 83400 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5defb2e8cfbf0a000181e774/198x149.png;http://spiruline-des-iles-dor.com;06 20 76 32 77;4.9;contact@spiruline-des-iles-dor.com
Demain les Vins;demainlesvins.com;4.9;251.0;food_beverages_tobacco;LocalBusiness;;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5304bcd5000064000578405c/198x149.png;http://demainlesvins.com;;4.9;contact@demainlesvins.com
Au-droit-de-bouchon;au-droit-de-bouchon.com;4.9;232.0;food_beverages_tobacco;LocalBusiness;Pas de visite de notre cave.Vente uniquement en ligne. FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshots/5bc355a68b9f810001373a0c/198x149.png;http://au-droit-de-bouchon.com;644660084;4.9;contact@au-droit-de-bouchon.com
Stephconti vins & spiritueux;stephconti.fr;4.9;217.0;food_beverages_tobacco;LocalBusiness;St Pierre de Clairac 47270 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/58f365e60000ff0005a094e5/198x149.png;http://stephconti.com;553955277;4.9;stastet@stephconti.fr
Alcoool - La Start-Up qui adore faire la fête !;alcoool.fr;4.9;194.0;food_beverages_tobacco;LocalBusiness;FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5ed7b68d8c64810001c4d2d0/198x149.png;http://alcoool.fr;;4.9;
Entrepôt Italien;entrepotitalien.fr;4.9;182.0;food_beverages_tobacco;LocalBusiness;Quartier de la Jouberte, 78 route de brignoles Le Val 83143 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5bead1c16920b3000195dc8a/198x149.png;https://entrepotitalien.fr;494772604;4.8;serviceclient@entrepotitalien.com
