name;link;stars;review_count;category
Le Petit Vapoteur;www.lepetitvapoteur.com;4.9;3152.0;food_beverages_tobacco
Comptoir des Vignes;www.comptoirdesvignes.fr;4.9;2210.0;food_beverages_tobacco
MonWhisky.fr;monwhisky.fr;4.9;849.0;food_beverages_tobacco
Belleville Brulerie - Paris;cafesbelleville.com;4.9;820.0;food_beverages_tobacco
Spiruline des îles d'or;spiruline-des-iles-dor.com;4.9;403.0;food_beverages_tobacco
Demain les Vins;demainlesvins.com;4.9;251.0;food_beverages_tobacco
Au-droit-de-bouchon;au-droit-de-bouchon.com;4.9;232.0;food_beverages_tobacco
Stephconti vins & spiritueux;stephconti.fr;4.9;217.0;food_beverages_tobacco
Alcoool - La Start-Up qui adore faire la fête !;alcoool.fr;4.9;194.0;food_beverages_tobacco
Entrepôt Italien;entrepotitalien.fr;4.9;182.0;food_beverages_tobacco
Rhum Attitude;www.rhumattitude.com;4.8;4514.0;food_beverages_tobacco
Vert Tiges;vert-tiges.com;4.8;4293.0;food_beverages_tobacco
La Fourche;lafourche.fr;4.8;3364.0;food_beverages_tobacco
Oliquide;www.oliquide.com;4.8;2767.0;food_beverages_tobacco
Nutri Naturel;nutri-naturel.com;4.8;2010.0;food_beverages_tobacco
Le Petit Ballon;lepetitballon.com;4.8;1641.0;food_beverages_tobacco
Café en grain;cafe-en-grain.com;4.8;1309.0;food_beverages_tobacco
Lu Shan - Art du Thé;boutique.lushan.fr;4.8;942.0;food_beverages_tobacco
Pêché Maison;www.peche-maison.fr;4.8;866.0;food_beverages_tobacco
VDLV e-shop;www.vincentdanslesvapes.fr;4.8;667.0;food_beverages_tobacco
CBD Toulouse;cbdtoulouse.fr;4.8;659.0;food_beverages_tobacco
Oé;oeforgood.com;4.8;629.0;food_beverages_tobacco
Lomi;lomi.coffee;4.8;253.0;food_beverages_tobacco
VignArtea;vignartea.fr;4.8;248.0;food_beverages_tobacco
Malindo;malindo.fr;4.8;240.0;food_beverages_tobacco
e-winery;e-winery.fr;4.8;159.0;food_beverages_tobacco
Champagne Terroir;champagne-terroir.fr;4.8;140.0;food_beverages_tobacco
Dock des Epices;dockdesepices.com;4.8;139.0;food_beverages_tobacco
Hayuco Coffee Roasters ;hayuco.coffee;4.8;124.0;food_beverages_tobacco
Nordic Temptations;www.nordictemptations.com;4.8;117.0;food_beverages_tobacco
