consumer_name;consumer_nb_review_writed;stars;title_review;content_review;date_experience;company;category;review;preprocess_review;sentiment;sentiment_nb;sentiment_confidence
Sébastien GILLET;1;5.0;Toujours très content de ce site;Toujours très content de ce site, des produits proposés et de la rapidité de livraison;26 février 2021;www.lepetitvapoteur.com;food_beverages_tobacco;Toujours très content de ce site, des produits proposés et de la rapidité de livraison;très content site produits proposés rapidité livraison;1;0;1.0
Client;2;4.0;site sérieux;site sérieux, livraison rapide, un peu plus souvent d'échantillon de liquide a tester serai bien;20 février 2021;www.lepetitvapoteur.com;food_beverages_tobacco;site sérieux, livraison rapide, un peu plus souvent d'échantillon de liquide a tester serai bien;site sérieux livraison rapide échantillon liquide tester bien;1;0;0.859
Chris Chris;1;5.0;Satisfaite;Livraison rapide, grand choix de goûts et tarifs assez raisonnables.;19 février 2021;www.lepetitvapoteur.com;food_beverages_tobacco;Livraison rapide, grand choix de goûts et tarifs assez raisonnables.;livraison rapide grand choix goûts tarifs raisonnables;1;0;1.0
Pierrick MICHEL;2;5.0;Colis commandé le 7/02/21 et reçu le…;Colis commandé le 7/02/21 et reçu le 12/02/21 en poste internationale .;12 février 2021;www.lepetitvapoteur.com;food_beverages_tobacco;Colis commandé le 7/02/21 et reçu le 12/02/21 en poste internationale .;colis commandé 7/02/21 reçu 12/02/21 poste internationale;1;0;1.0
Christian Menu;1;5.0;Livraison comme toujours rapide et…;Livraison comme toujours rapide et produits impeccables !;;www.lepetitvapoteur.com;food_beverages_tobacco;Livraison comme toujours rapide et produits impeccables !;livraison rapide produits impeccables !;1;0;1.0
JP DELAUNAY;1;5.0;5 étoiles;Produits toujours disponibles Interface du site excellente livraison rapide;;www.lepetitvapoteur.com;food_beverages_tobacco;Produits toujours disponibles Interface du site excellente livraison rapide;produits disponibles interface site excellente livraison rapide;1;0;1.0
Sylvain Petiot;1;5.0;Toujours un large choix et la livraison…;Toujours un large choix et la livraison est vraiment rapide;;www.lepetitvapoteur.com;food_beverages_tobacco;Toujours un large choix et la livraison est vraiment rapide;large choix livraison vraiment rapide;1;0;1.0
Arobase Table;1;5.0;Toujours les numéro 1 pour moi !;Toujours les numéro 1 pour moi !Très grand choix de produits et expedition extrêmement rapide .;;www.lepetitvapoteur.com;food_beverages_tobacco;Toujours les numéro 1 pour moi !Très grand choix de produits et expedition extrêmement rapide .;numéro 1 ! très grand choix produits expedition extrêmement rapide;1;0;1.0
Sylvie;4;5.0;R.A.S;Ras. Service rapide et impeccable, comme toujours. Produit de qualité également;;www.lepetitvapoteur.com;food_beverages_tobacco;Ras. Service rapide et impeccable, comme toujours. Produit de qualité également;ras service rapide impeccable produit qualité également;1;0;1.0
N.T;1;5.0;livraison rapide et conforme aux…;livraison rapide et conforme aux attentes;;www.lepetitvapoteur.com;food_beverages_tobacco;livraison rapide et conforme aux attentes;livraison rapide conforme attentes;1;0;1.0
