consumer_name,consumer_nb_review_writed,stars,title_review,content_review,date_experience,company
Helrat,4,5,Toujours parfait,"Toujours parfait. Depuis 4 ans, je commande tout mon matériel, DIY, Liquide, E-Cig.. etc. Sur ce site. Un service toujours impeccable, lorsque vous avez un problème le SAV est réactif et trouve toujours un compromis. Les seuls ennuis c'est Chronopost, je préfère passer par une livraison lente par Colissimo qui livrent en temps et en heure. Chronopost c'est une plaie.",14 mars 2021,www.lepetitvapoteur.com
Laura Perrault,1,5,Site aussi bon que d'habitude ou l'on…,"Site aussi bon que d'habitude ou l'on trouve pleins de petits conseils ici et là au fil des pages que l'on visiteEn tant que cliente fidèle je recommande vivement ce site, y a vraiment tout ce qu'il faut et tout est facile d'accès 😉Les colis sont toujours bien préparé et toujours reçu en temps et en heure pour ma part",8 mars 2021,www.lepetitvapoteur.com
HENRY KARINE,2,5,Super!,"Présentation agréable, conseils rapides et adaptés, grand choix de produits, prix attractifs",11 mars 2021,www.lepetitvapoteur.com
le chineur,2,5,Bonne presentation et explication des…,Bonne presentation et explication des produits diversrien a dire au niveau commande tout et clair et une expedition et reception tres rapide Merci,10 mars 2021,www.lepetitvapoteur.com
Antoine Thomas,1,5,Site génial pour commander son matériel…,Site génial pour commander son matériel et ses liquides. Le programme fidélité est incitatif et récompense très bien (10% des achats c'est quand même rare). Mention spéciale pour la rubrique Achats fréquents qui permet de se ravitailler très facilement en liquides et résistances. Je le conseille toujours depuis 4 ans que je suic lient du site et des boutiques de Caen où on est toujours très bien accueilli et conseillé. Bravo !,10 mars 2021,www.lepetitvapoteur.com
Sophie Vacher,1,5,le site est très facile d'accès,"le site est claire, simple et facile même les débutants peuvent faire les commandes .Les explications et les images sont super. A continuer.",9 mars 2021,www.lepetitvapoteur.com
Samy Parisse,1,5,Probablement le meilleur site de vape.,"Probablement le meilleur site de vape.Je commande chez eux depuis... J'en arrive même plus a compter. Même a distance un conseiller et là pour vous. Le site est ergonomique et dynamique.De plus, je n'ai jamais eu de soucis avec mes commandes, toujours dans les temps même quand ils annoncent qu'ils sont en retard. Sans oublier les petits plus (sticker etc...) en cadeau qui fait toujours plaisir.Tout simplement génial.",9 mars 2021,www.lepetitvapoteur.com
Florent,1,5,AU TOP,"AU TOP parfait et rapide, comme d'hab !",7 mars 2021,www.lepetitvapoteur.com
Stelly POTTIER,1,5,Parfait,"Parfait, comme a chaque commande 👌",6 mars 2021,www.lepetitvapoteur.com
Marine Ochowiec,1,5,Jamais déçue après une dizaine de…,"Jamais déçue après une dizaine de commande sur ce site. Des prix imbattables, des avantages fidélité, livraison rapide et produits de qualités !",5 mars 2021,www.lepetitvapoteur.com
Alexandra Pinchon,1,5,Le site est top,"Le site est top, rien à redire",5 mars 2021,www.lepetitvapoteur.com
Armand Berthome,6,5,Parfait et rapide.,"Du choix, de bons produits, de bons prix, une livraison rapide, suivie et bien emballée. C'est le top.Maintenant que j'ai mes habitudes de produits habituels, je ne me pose plus de questions ni ne cherche ailleurs, j'ai trouvé ce qui me convient.les promos régulières sont un vrai plus, ne serait-ce que pour tester de nouveaux produits sans regrets.",5 mars 2021,www.lepetitvapoteur.com
Client,5,1,Service client inutile,"Colis très en retard car perdu par la plate forme. Pas de proposition pour remplacer le colis en question.La réponse du site confirme ce qui est dit précédemment, aucune solution de remplacement proposée, on commande avec chronopost pour une livraison rapide parce que l'on veut les produits très vite pas parce que l'on peut se permettre d'attendre indéfiniment. J'ai plus de 100 balles dans la nature et 0 produit. Heureusement que la concurrence bosse mieux.",5 mars 2021,www.lepetitvapoteur.com
Elodie,2,5,Parfait comme d'habitude !,,4 mars 2021,www.lepetitvapoteur.com
Marie Leclercq,3,5,le site de réféérence pour l'achat de…,le site de réféérence pour l'achat de produit pour cigarette electronique,4 mars 2021,www.lepetitvapoteur.com
Chazerans Jean-Jacques,3,5,parfait comme d'habitude,,3 mars 2021,www.lepetitvapoteur.com
Vincent guyomarc'h,1,5,Au top comme d'habitude !!!!,Au top comme d'habitude !!!!Continuez ainsi et encore merci....,3 mars 2021,www.lepetitvapoteur.com
FABRICE BRAQUART,2,5,Toujours parfait,,26 février 2021,www.lepetitvapoteur.com
Luc Marie,1,5,Parfait nickel,,28 février 2021,www.lepetitvapoteur.com
Sébastien GILLET,1,5,Toujours très content de ce site,"Toujours très content de ce site, des produits proposés et de la rapidité de livraison",26 février 2021,www.lepetitvapoteur.com
christine lemle,3,5,Super site,Super site . Jamais déçue .,26 février 2021,www.lepetitvapoteur.com
Philippe Kukuczka,1,5,impeccable rapide stock et références…,impeccable rapide stock et références suivies je recommande,25 février 2021,www.lepetitvapoteur.com
Ce Bri,1,5,"Parfait, comme toujours","Envoie rapide et soigné, de très bons produits à des prix très abordables.Toujours un petit cadeau dans chaque colis ;)Je recommande le site les yeux fermés",21 février 2021,www.lepetitvapoteur.com
Stéphane Gouineau,7,5,Comme d’habitude impeccable 👍👍👍,,25 février 2021,www.lepetitvapoteur.com
Madame Blanc Patricia,4,5,Expédition toujours aussi rapide et…,Expédition toujours aussi rapide et soignée... Je recommande vivement ;-)),25 février 2021,www.lepetitvapoteur.com
Nathalie,1,5,Je recommande le petit vapoteur,"Je recommande le petit vapoteur, un site très fiable et toujours une personne pour répondre à vos questions.",24 février 2021,www.lepetitvapoteur.com
Delahaye Richard,2,5,Site exceptionnel,"Site exceptionnel, les envois sont rapides, le suivi du client est au top, je conseille à 100 %,Besoin de conseils ils sont toujours là",24 février 2021,www.lepetitvapoteur.com
Mélanie Le Bouteiller,1,5,Au top !!,"Rien à dire. Livraison rapide, produits conforme à la description. Tjs un petit présent dans le colis qui fait tjs plaisir. Je commande que chez le petit vapoteur la qualité des produits est top.Je recommande +++",24 février 2021,www.lepetitvapoteur.com
Lili,1,5,Très satisfaite des produits et surtout…,Très satisfaite des produits et surtout de la rapidité de livraison. Je recommande vivement !,24 février 2021,www.lepetitvapoteur.com
Pauline,1,5,Parfait,"Parfait! Cliente fidèle, je suis toujours très satisfaite du Petit Vapoteur et je vous recommande à 100% !",23 février 2021,www.lepetitvapoteur.com
burtay jancevski,1,5,Parfait livraison très vite,,23 février 2021,www.lepetitvapoteur.com
Teddy B,2,1,Est-ce une blague ?,Bonjour est-ce une blague ? J'ai demandé une livraison CHRONOPOST pour que l'expédition soit beaucoup plus rapide. Cependant j'ai une livraison COLISSIMO ????AMATEURISME...Commande N°7118781Cordialement.,23 février 2021,www.lepetitvapoteur.com
Isabelle L-v,1,5,Client depuis 2 ans société et conseil…,Client depuis 2 ans société et conseil au top . Je recommande les yeux fermés,23 février 2021,www.lepetitvapoteur.com
Gael Lemercier,1,5,Client depuis plus d'un an et…,Client depuis plus d'un an et commendant régulièrement je suis très satisfait de la communication et de la sécurité de paiement en ligne. L'emballage des colis est irréprochable ainsi que la rapidité de préparation et de livraison. Les produits ready to dye que j'ai testé sont très bon et pour un coût très avantageux. Merci à toute l'équipe.,22 février 2021,www.lepetitvapoteur.com
Ly Low,2,5,Parfait,Je recommande ce site il es vraiment top,22 février 2021,www.lepetitvapoteur.com
Steeve Da Silva,1,5,Livraison rapide avec 1 jour d'avance,"Livraison rapide avec 1 jour d'avance, jamais déçu.",19 février 2021,www.lepetitvapoteur.com
Pauline,1,5,Parfait service top top top !!,"Parfait service top, prix top, SAV top livraison top ! et conseils top parce qu'ils sont aimables en plus !Y a vraiment 0 points négatifs !Tout est expliqué pour les néophytes, les experts trouvent ce qu'ils veulent, il y a du choix. L'ergonomie du site est parfaite.",21 février 2021,www.lepetitvapoteur.com
