name,link,stars,review_count,location,category
Comptoir des Vignes,www.comptoirdesvignes.fr,4.9,2209,,food_beverages_tobacco
Belleville Brulerie - Paris,cafesbelleville.com,4.9,819,14 Bis Rue Lally-Tollendal . 75019Paris,food_beverages_tobacco
Spiruline des îles d'or,spiruline-des-iles-dor.com,4.9,401,1143 Chemin de la Garde . 83400Hyères,food_beverages_tobacco
Au-droit-de-bouchon,au-droit-de-bouchon.com,4.9,232,,food_beverages_tobacco
Stephconti vins & spiritueux,stephconti.fr,4.9,217,47270 . St Pierre de Clairac,food_beverages_tobacco
Alcoool - La Start-Up qui adore faire la fête !,alcoool.fr,4.9,194,,food_beverages_tobacco
Entrepôt Italien,entrepotitalien.fr,4.9,180,"Quartier de la Jouberte, 78 route de brignoles . 83143Le Val",food_beverages_tobacco
Rhum Attitude,www.rhumattitude.com,4.8,4498,"10, rue de Penthièvre . 75008Paris",food_beverages_tobacco
Vert Tiges,vert-tiges.com,4.8,4291,910 route de Valmont . 76400Fécamp,food_beverages_tobacco
La Fourche,lafourche.fr,4.8,3364,60 Avenue Lucie Aubrac . 93190Livry-Gargan,food_beverages_tobacco
Peeweepaw,peeweepaw.shop,4.9,749,78360 . Montesson,animals_pets
Animauxvillas,www.animauxvillas.com,4.9,451,Van Harenstraat 6 . 5145 RJWaalwijk,animals_pets
"Fenril.fr, Chiens actifs & Outdoor",fenril.fr,4.8,13855,Le Village - Chemin de la Tour . 38112MEAUDRE,animals_pets
Hariet & Rosie,www.hariet-et-rosie.com,4.8,653,Rue Voltaire 7 . 44000Nantes,animals_pets
Cani-gourmand,canigourmand.com,4.8,407,4 rue elisabeth . 91330YERRES,animals_pets
Caats,caats.co,4.8,171,5 avenue du Général de Gaulle . 94160Saint-Mandé,animals_pets
Danse-avec-ton-chien,danse-avec-ton-chien.fr,4.8,109,4000 route d'Estang . 40240Labastide d'Armagnac,animals_pets
Elmut,elmut.fr,4.8,61,,animals_pets
cheval-energy.com,cheval-energy.com,4.7,10287,"41, Rue du Moulin des Bruyères . 92400Courbevoie",animals_pets
Oiseaux Mania,oiseaux-mania.com,4.7,4183,65 AVENUE DU PROGRÈS . 69680CHASSIEU,animals_pets
Or en Cash,orencash.fr,4.9,3348,,money_insurance
CDT - Comptoir des Tuileries,www.cdt.fr,4.9,1295,"53, Rue Vivienne  .  75002 Paris",money_insurance
Hosman,www.hosman.co,4.9,1140,50 rue d'Aboukir . 75002PARIS,money_insurance
Liberkeys,liberkeys.com,4.9,1137,92 rue de Rochechouart . 75009Paris,money_insurance
Spliiit,spliiit.com,4.9,679,4 bis rue royer bendélé . 92230Gennevilliers,money_insurance
Homki ,homki-immobilier.com,4.9,588,112 Rue Dragon . 13006Marseille,money_insurance
International Sante,www.international-sante.com,4.9,529,"Hélios 3, 116 route d'Espagne . 31100TOULOUSE",money_insurance
Indy (ex Georges),indy.fr,4.9,429,94 rue Robert . 69006Lyon,money_insurance
Devenez Trader Pro - Andlil.com - Benoist Rousseau,andlil.com,4.9,93,,money_insurance
Ymanci,ymanci.fr,4.8,6387,1 rue de Lorraine . 54840Gondreville,money_insurance
KAPAO Parfumerie,kapao.fr,5.0,1484,Z.A 1 LE CHAFFRE 3 RUE MARCHANDS . 30420Calvisson,beauty_wellbeing
Florihana,florihana.com,4.9,3537,Les grands prés . 06460Caussols,beauty_wellbeing
Hello my bio,hellomybio.fr,4.9,454,,beauty_wellbeing
SILEX Beau Brut Naturel,www.silexpourhomme.fr,4.9,452,Rue Waldeck ROUSSEAU . 49130LES PONTS DE CE,beauty_wellbeing
À la douche Simone,aladouchesimone.fr,4.9,343,,beauty_wellbeing
Ayanature,www.ayanature.com,4.9,242,,beauty_wellbeing
Direct Bio Shop,direct-bio-shop.com,4.9,228,Rue Camille Plaquet . 95540Mery sur Oise,beauty_wellbeing
Le Paravent,le-paravent.fr,4.9,116,35 Rue Auguste Comte . 69002Lyon,beauty_wellbeing
Origines,origines-parfums.com,4.8,62504,,beauty_wellbeing
Famille Mary,www.famillemary.fr,4.8,18118,Moulin de beau rivage . 49450Saint André de la Marche,beauty_wellbeing
Techni K Outils,tkoutils.fr,4.9,494,562 rue d'Alsace . 88100Sainte-Marguerite,construction_manufactoring
GOYON-CHAZEAU coutellerie,goyon-chazeau.com,4.9,158,"17, Chailas . 63650La Monnerie Le Montel",construction_manufactoring
PARASYSTEM,deratisation.com,4.9,98,"12, rue Mandar . 75002Paris",construction_manufactoring
TooManyTools,www.toomanytools.com,4.8,6610,ZA DU BOUILLOU . 43200Saint Maurice de Lignon,construction_manufactoring
Plaquerapide,plaquerapide.fr,4.8,4211,"2, cours Jean Jaurès . 38000Grenoble",construction_manufactoring
Point Bâches & Stores,www.pointbaches12.com,4.8,2868,293 rue des routiers ZA BEL AIR . 12000RODEZ,construction_manufactoring
Renovation Man,www.renovationman.com,4.8,332,40 rue Louis Blanc . 75010Paris,construction_manufactoring
DENQBAR,www.denqbar.com,4.8,257,,construction_manufactoring
Matiere Détail,matieredetail.fr,4.8,80,12 rue du moulin de l'étang . 78910Orgerus,construction_manufactoring
CELEDEN Fermetures,celeden.fr,4.8,70,21 rue des Guillots . 17460CHERMIGNAC,construction_manufactoring
Elephorm,elephorm.com,4.9,1388,,education_training
Objectif Horlogerie,www.objectifhorlogerie.fr,4.9,912,48 rue de Rivoli . 75004Paris,education_training
Clevermate,www.clevermate.fr,4.9,105,24 rue Buffault . 75009Paris,education_training
O'clock,oclock.io,4.8,327,,education_training
EFM Fonction Publique,efm-fonctionpublique.fr,4.8,268,1 rue Maurice Hollande - Bâtiment Allure - CS 80006 . 51689REIMS CEDEX 2,education_training
Les Geeks des Chiffres,lesgeeksdeschiffres.com,4.8,131,"9, Rue du 4 Septembre  . 75002Paris",education_training
La Capsule,lacapsule.academy,4.8,81,,education_training
Teetsh,teetsh.com,4.8,72,rue nicolas roret . 75013Paris,education_training
Coursdepatisserie,coursdepatisserie.fr,4.8,71,33310 . LORMONT,education_training
French Future Academy,frenchfutureacademy.com,4.8,64,20 allée Anne de Beaujeu . 75019Paris,education_training
Fonebank.fr,fonebank.fr,4.9,4000,LD Le Marchat  CS80014 . 24420Savignac-les-Eglises,electronics_technology
Digit-Photo.com,www.digit-photo.com,4.9,1414,6 rue des forgerons . 57070Metz,electronics_technology
WP Rocket,wp-rocket.me,4.9,982,18/20 rue Tronchet . 69006Lyon,electronics_technology
Europe Nature-optik,www.europe-nature-optik.fr,4.9,967,,electronics_technology
Mega-Piles,mega-piles.com,4.9,776,75018 . Paris,electronics_technology
Spliiit,spliiit.com,4.9,679,4 bis rue royer bendélé . 92230Gennevilliers,electronics_technology
IP&Go,ipandgo.com,4.9,536,,electronics_technology
Mon-AutoEntreprise.fr,www.mon-autoentreprise.fr,4.9,454,380 bd. Pierre Loti . 83130LA GARDE,electronics_technology
Ideel,ideel.io,4.9,424,58 rue de la victoire . 75009Paris,electronics_technology
